"country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"Albania",1960,115.4,62.87,6.19,1636054,NA,"Europe","SouthernEurope"
"Algeria",1960,148.2,47.5,7.65,11124892,13828152297,"Africa","NorthernAfrica"
"Angola",1960,208,35.98,7.32,5270844,NA,"Africa","MiddleAfrica"
"AntiguaandBarbuda",1960,NA,62.97,4.43,54681,NA,"Americas","Caribbean"
"Argentina",1960,59.87,65.39,3.11,20619075,108322326649,"Americas","SouthAmerica"
"Armenia",1960,NA,66.86,4.55,1867396,NA,"Asia","WesternAsia"
"Aruba",1960,NA,65.66,4.82,54208,NA,"Americas","Caribbean"
"Australia",1960,20.3,70.87,3.45,10292328,96677859364,"Oceania","AustraliaandNewZealand"
"Austria",1960,37.3,68.75,2.7,7065525,52392699681,"Europe","WesternEurope"
"Azerbaijan",1960,NA,61.33,5.57,3897889,NA,"Asia","WesternAsia"
"Bahamas",1960,51,62,4.5,109526,1306269490,"Americas","Caribbean"
"Bahrain",1960,134.5,51.64,7.09,162501,NA,"Asia","WesternAsia"
"Bangladesh",1960,176.3,46.2,6.73,48200702,12767231590,"Asia","SouthernAsia"
"Barbados",1960,69.5,61.8,4.33,230934,784120376,"Americas","Caribbean"
"Belarus",1960,NA,71.59,2.74,8190027,NA,"Europe","EasternEurope"
"Belgium",1960,29.5,69.59,2.6,9140563,68236665814,"Europe","WesternEurope"
"Belize",1960,NA,60.08,6.5,92068,86532304,"Americas","CentralAmerica"
"Benin",1960,186.9,38.29,6.28,2431620,621797131,"Africa","WesternAfrica"
"Bhutan",1960,175,35.94,6.67,224108,NA,"Asia","SouthernAsia"
"Bolivia",1960,173.4,43.77,6.7,3693451,3001815692,"Americas","SouthAmerica"
"BosniaandHerzegovina",1960,105,62.56,4.05,3214520,NA,"Europe","SouthernEurope"
"Botswana",1960,115.5,50.34,6.62,524029,124460933,"Africa","SouthernAfrica"
"Brazil",1960,129.4,55.27,6.21,72493585,105343379555,"Americas","SouthAmerica"
"Brunei",1960,63,62.52,6.49,81825,NA,"Asia","South-EasternAsia"
"Bulgaria",1960,49,69.22,2.25,7866472,NA,"Europe","EasternEurope"
"BurkinaFaso",1960,161.3,35.21,6.29,4829291,596612183,"Africa","WesternAfrica"
"Burundi",1960,145.1,40.58,6.95,2786740,341126765,"Africa","EasternAfrica"
"Cambodia",1960,NA,42.29,6.97,5722370,NA,"Asia","South-EasternAsia"
"Cameroon",1960,166.9,43.46,5.65,5361367,2537944080,"Africa","MiddleAfrica"
"Canada",1960,27.8,71,3.91,17909232,167894860728,"Americas","NorthernAmerica"
"CapeVerde",1960,NA,50.12,6.89,202316,NA,"Africa","WesternAfrica"
"CentralAfricanRepublic",1960,165.5,37.43,5.84,1503501,534982718,"Africa","MiddleAfrica"
"Chad",1960,NA,40.95,6.25,3002596,750173439,"Africa","MiddleAfrica"
"Chile",1960,127.6,56.85,5.58,7695692,14087170195,"Americas","SouthAmerica"
"China",1960,190,30.53,3.99,644450173,70348527260,"Asia","EasternAsia"
"Colombia",1960,89.3,58.03,6.81,16480384,19017657851,"Americas","SouthAmerica"
"Comoros",1960,200,44.04,6.79,188732,NA,"Africa","EasternAfrica"
"CongoDem.Rep.",1960,174,43.9,6,15248246,4992962083,"Africa","MiddleAfrica"
"CongoRep.",1960,110.6,48.25,5.88,1013581,626127041,"Africa","MiddleAfrica"
"CostaRica",1960,86.54,61.97,7.31,1333042,2398494445,"Americas","CentralAmerica"
"Coted'Ivoire",1960,208.4,38,7.35,3474724,2003623491,"Africa","WesternAfrica"
"Croatia",1960,70,64.85,2.33,4192634,NA,"Europe","SouthernEurope"
"Cuba",1960,37,63.85,4.18,7141129,NA,"Americas","Caribbean"
"Cyprus",1960,30,69.72,3.5,572929,NA,"Asia","WesternAsia"
"CzechRepublic",1960,22,70.58,2.3,9578587,NA,"Europe","EasternEurope"
"Denmark",1960,21.3,72.28,2.54,4580708,52164745342,"Europe","NorthernEurope"
"Djibouti",1960,NA,45.77,6.46,83636,NA,"Africa","EasternAfrica"
"DominicanRepublic",1960,102.1,53.37,7.56,3294039,3019307866,"Americas","Caribbean"
"Ecuador",1960,121.4,54.09,6.69,4545548,3641530019,"Americas","SouthAmerica"
"Egypt",1960,209.6,48.31,6.63,27072397,12008501551,"Africa","NorthernAfrica"
"ElSalvador",1960,126.2,52.02,6.73,2762897,4017741905,"Americas","CentralAmerica"
"EquatorialGuinea",1960,NA,37.69,5.51,252115,NA,"Africa","MiddleAfrica"
"Eritrea",1960,NA,39.03,6.9,1407631,NA,"Africa","EasternAfrica"
"Estonia",1960,40,69.42,1.95,1216831,NA,"Europe","NorthernEurope"
"Ethiopia",1960,162,37.72,6.88,22151218,NA,"Africa","EasternAfrica"
"Fiji",1960,54,55.7,6.46,393383,437079701,"Oceania","Melanesia"
"Finland",1960,21.9,69.03,2.71,4430228,32363088296,"Europe","NorthernEurope"
"France",1960,23.7,70.49,2.77,45865699,349778187326,"Europe","WesternEurope"
"FrenchPolynesia",1960,NA,56.28,5.66,78083,NA,"Oceania","Polynesia"
"Gabon",1960,NA,38.83,4.38,499189,887289809,"Africa","MiddleAfrica"
"Gambia",1960,148.4,35.7,5.57,367929,NA,"Africa","WesternAfrica"
"Georgia",1960,NA,63.5,2.96,4159769,NA,"Asia","WesternAsia"
"Germany",1960,34,69.26,2.41,73179665,NA,"Europe","WesternEurope"
"Ghana",1960,125.1,46.34,6.75,6652285,1902005320,"Africa","WesternAfrica"
"Greece",1960,48.3,68.41,2.22,8311386,28208389534,"Europe","SouthernEurope"
"Greenland",1960,NA,61.49,7.25,31238,NA,"Americas","NorthernAmerica"
"Grenada",1960,NA,60.59,6.74,89861,NA,"Americas","Caribbean"
"Guatemala",1960,146,46.51,6.53,4127555,3989089865,"Americas","CentralAmerica"
